submission_date,state,new_case
3/6/2020,MN,1
3/7/2020,MN,0
3/8/2020,MN,1
3/9/2020,MN,0
3/10/2020,MN,2
3/11/2020,MN,1
3/12/2020,MN,5
3/13/2020,MN,4
3/14/2020,MN,0
3/15/2020,MN,40
3/16/2020,MN,6
3/17/2020,MN,17
3/18/2020,MN,12
3/19/2020,MN,26
3/20/2020,MN,0
3/21/2020,MN,22
3/22/2020,MN,99
3/23/2020,MN,26
3/24/2020,MN,25
3/25/2020,MN,59
3/26/2020,MN,53
3/27/2020,MN,0
3/28/2020,MN,42
3/29/2020,MN,135
3/30/2020,MN,0
3/31/2020,MN,113
4/1/2020,MN,53
4/2/2020,MN,47
4/3/2020,MN,0
4/4/2020,MN,76
4/5/2020,MN,121
4/6/2020,MN,83
4/7/2020,MN,85
4/8/2020,MN,88
4/9/2020,MN,94
4/10/2020,MN,0
4/11/2020,MN,178
4/12/2020,MN,107
4/13/2020,MN,74
4/14/2020,MN,114
4/15/2020,MN,53
4/16/2020,MN,151
4/17/2020,MN,161
4/18/2020,MN,39
4/19/2020,MN,257
4/20/2020,MN,97
4/21/2020,MN,154
4/22/2020,MN,0
4/23/2020,MN,464
4/24/2020,MN,0
4/25/2020,MN,261
4/26/2020,MN,156
4/27/2020,MN,579
4/28/2020,MN,464
4/29/2020,MN,491
4/30/2020,MN,0
5/1/2020,MN,594
5/2/2020,MN,498
5/3/2020,MN,1010
5/4/2020,MN,-4
5/5/2020,MN,617
5/6/2020,MN,728
5/7/2020,MN,1509
5/8/2020,MN,0
5/9/2020,MN,1183
5/10/2020,MN,0
5/11/2020,MN,528
5/12/2020,MN,1118
5/13/2020,MN,0
5/14/2020,MN,1323
5/15/2020,MN,0
5/16/2020,MN,1428
5/17/2020,MN,704
5/18/2020,MN,657
5/19/2020,MN,641
5/20/2020,MN,0
5/21/2020,MN,1335
5/22/2020,MN,840
5/23/2020,MN,0
5/24/2020,MN,728
5/25/2020,MN,1387
5/26/2020,MN,504
5/27/2020,MN,0
5/28/2020,MN,1067
5/29/2020,MN,0
5/30/2020,MN,1319
5/31/2020,MN,358
6/1/2020,MN,0
6/2/2020,MN,300
6/3/2020,MN,362
6/4/2020,MN,403
6/5/2020,MN,1228
6/6/2020,MN,385
6/7/2020,MN,338
6/8/2020,MN,299
6/9/2020,MN,346
6/10/2020,MN,447
6/11/2020,MN,0
6/12/2020,MN,479
6/13/2020,MN,377
6/14/2020,MN,521
6/15/2020,MN,189
6/16/2020,MN,414
6/17/2020,MN,0
6/18/2020,MN,379
6/19/2020,MN,792
6/20/2020,MN,453
6/21/2020,MN,307
6/22/2020,MN,242
6/23/2020,MN,294
6/24/2020,MN,0
6/25/2020,MN,853
6/26/2020,MN,0
6/27/2020,MN,933
6/28/2020,MN,-3
6/29/2020,MN,315
6/30/2020,MN,855
7/1/2020,MN,494
7/2/2020,MN,414
7/3/2020,MN,0
7/4/2020,MN,512
